uuid,Source EN,Fallback EN
f108f792-87dc-50bc-9b53-34e554f604b9,hours,jobtype
f108f792-87dc-50bc-9b53-34e554f604b9,hours,jobtype
f108f792-87dc-50bc-9b53-34e554f604b9,career,experience
f108f792-87dc-50bc-9b53-34e554f604b9,functiongroup,title
f108f792-87dc-50bc-9b53-34e554f604b9,education,title
f108f792-87dc-50bc-9b53-34e554f604b9,title,title_alt
f108f792-87dc-50bc-9b53-34e554f604b9,country,location
f108f792-87dc-50bc-9b53-34e554f604b9,zip,location
f108f792-87dc-50bc-9b53-34e554f604b9,branch,client
f108f792-87dc-50bc-9b53-34e554f604b9,contract,
f108f792-87dc-50bc-9b53-34e554f604b9,apply_method,
f108f792-87dc-50bc-9b53-34e554f604b9,upsell,
88aedf51-628d-5568-a9e5-abef66b0e0a5,contact_email,contact_name
88aedf51-628d-5568-a9e5-abef66b0e0a5,hours,jobtype
88aedf51-628d-5568-a9e5-abef66b0e0a5,hours,jobtype
88aedf51-628d-5568-a9e5-abef66b0e0a5,career,experience
88aedf51-628d-5568-a9e5-abef66b0e0a5,functiongroup,title
88aedf51-628d-5568-a9e5-abef66b0e0a5,education,title
88aedf51-628d-5568-a9e5-abef66b0e0a5,title,title_alt
88aedf51-628d-5568-a9e5-abef66b0e0a5,country,location
88aedf51-628d-5568-a9e5-abef66b0e0a5,zip,location
88aedf51-628d-5568-a9e5-abef66b0e0a5,branch,client
88aedf51-628d-5568-a9e5-abef66b0e0a5,contract,
88aedf51-628d-5568-a9e5-abef66b0e0a5,apply_method,
88aedf51-628d-5568-a9e5-abef66b0e0a5,upsell,
aa9727aa-9edf-5b4a-96c0-8013beb5fed2,contact_email,contact_name
aa9727aa-9edf-5b4a-96c0-8013beb5fed2,hours,jobtype
aa9727aa-9edf-5b4a-96c0-8013beb5fed2,hours,jobtype
aa9727aa-9edf-5b4a-96c0-8013beb5fed2,career,experience
aa9727aa-9edf-5b4a-96c0-8013beb5fed2,functiongroup,title
aa9727aa-9edf-5b4a-96c0-8013beb5fed2,education,title
aa9727aa-9edf-5b4a-96c0-8013beb5fed2,title,title_alt
aa9727aa-9edf-5b4a-96c0-8013beb5fed2,country,location
aa9727aa-9edf-5b4a-96c0-8013beb5fed2,zip,location
aa9727aa-9edf-5b4a-96c0-8013beb5fed2,branch,client
aa9727aa-9edf-5b4a-96c0-8013beb5fed2,contract,
aa9727aa-9edf-5b4a-96c0-8013beb5fed2,apply_method,
aa9727aa-9edf-5b4a-96c0-8013beb5fed2,upsell,
22616c26-c1ba-5caa-89cf-37fe83894486,contact_company,employer
22616c26-c1ba-5caa-89cf-37fe83894486,branch,functiongroup
22616c26-c1ba-5caa-89cf-37fe83894486,country,location
22616c26-c1ba-5caa-89cf-37fe83894486,location,zip
22616c26-c1ba-5caa-89cf-37fe83894486,location,zip
22616c26-c1ba-5caa-89cf-37fe83894486,jobtype,hours
22616c26-c1ba-5caa-89cf-37fe83894486,contact_city,
22616c26-c1ba-5caa-89cf-37fe83894486,introduction,
22616c26-c1ba-5caa-89cf-37fe83894486,salary,
22616c26-c1ba-5caa-89cf-37fe83894486,apply_method,
22616c26-c1ba-5caa-89cf-37fe83894486,hours,
22616c26-c1ba-5caa-89cf-37fe83894486,hours,
22616c26-c1ba-5caa-89cf-37fe83894486,upsell,
99ea3228-2790-5215-9c27-b78f6d47735a,experience,career
99ea3228-2790-5215-9c27-b78f6d47735a,functiongroup,title
99ea3228-2790-5215-9c27-b78f6d47735a,branch,client
99ea3228-2790-5215-9c27-b78f6d47735a,location,zip
99ea3228-2790-5215-9c27-b78f6d47735a,location,zip
99ea3228-2790-5215-9c27-b78f6d47735a,jobtype,hours
99ea3228-2790-5215-9c27-b78f6d47735a,contract,
99ea3228-2790-5215-9c27-b78f6d47735a,apply_method,
99ea3228-2790-5215-9c27-b78f6d47735a,vacancy_language,
99ea3228-2790-5215-9c27-b78f6d47735a,,
99ea3228-2790-5215-9c27-b78f6d47735a,,
e5eae904-f8e4-5163-966c-e52b98e1a224,experience,career
e5eae904-f8e4-5163-966c-e52b98e1a224,functiongroup,title
e5eae904-f8e4-5163-966c-e52b98e1a224,branch,client
e5eae904-f8e4-5163-966c-e52b98e1a224,location,zip
e5eae904-f8e4-5163-966c-e52b98e1a224,location,zip
e5eae904-f8e4-5163-966c-e52b98e1a224,jobtype,hours
e5eae904-f8e4-5163-966c-e52b98e1a224,contract,
e5eae904-f8e4-5163-966c-e52b98e1a224,apply_method,
e5eae904-f8e4-5163-966c-e52b98e1a224,vacancy_language,
e5eae904-f8e4-5163-966c-e52b98e1a224,,
e5eae904-f8e4-5163-966c-e52b98e1a224,,
8a73f76a-80b4-58a0-95b0-a44afeef3111,experience,career
8a73f76a-80b4-58a0-95b0-a44afeef3111,functiongroup,title
8a73f76a-80b4-58a0-95b0-a44afeef3111,branch,client
8a73f76a-80b4-58a0-95b0-a44afeef3111,location,zip
8a73f76a-80b4-58a0-95b0-a44afeef3111,location,zip
8a73f76a-80b4-58a0-95b0-a44afeef3111,jobtype,hours
8a73f76a-80b4-58a0-95b0-a44afeef3111,contract,
8a73f76a-80b4-58a0-95b0-a44afeef3111,apply_method,
8a73f76a-80b4-58a0-95b0-a44afeef3111,vacancy_language,
8a73f76a-80b4-58a0-95b0-a44afeef3111,,
8a73f76a-80b4-58a0-95b0-a44afeef3111,,
7968aeff-bc5e-5647-8830-ad9a5c00a1f7,experience,career
7968aeff-bc5e-5647-8830-ad9a5c00a1f7,functiongroup,title
7968aeff-bc5e-5647-8830-ad9a5c00a1f7,branch,client
7968aeff-bc5e-5647-8830-ad9a5c00a1f7,location,zip
7968aeff-bc5e-5647-8830-ad9a5c00a1f7,location,zip
7968aeff-bc5e-5647-8830-ad9a5c00a1f7,jobtype,hours
7968aeff-bc5e-5647-8830-ad9a5c00a1f7,contract,
7968aeff-bc5e-5647-8830-ad9a5c00a1f7,apply_method,
7968aeff-bc5e-5647-8830-ad9a5c00a1f7,vacancy_language,
7968aeff-bc5e-5647-8830-ad9a5c00a1f7,,
7968aeff-bc5e-5647-8830-ad9a5c00a1f7,,
27e9f9b0-820b-5e47-8cde-bea5857e341c,experience,career
27e9f9b0-820b-5e47-8cde-bea5857e341c,functiongroup,title
27e9f9b0-820b-5e47-8cde-bea5857e341c,branch,client
27e9f9b0-820b-5e47-8cde-bea5857e341c,location,zip
27e9f9b0-820b-5e47-8cde-bea5857e341c,location,zip
27e9f9b0-820b-5e47-8cde-bea5857e341c,jobtype,hours
27e9f9b0-820b-5e47-8cde-bea5857e341c,contract,
27e9f9b0-820b-5e47-8cde-bea5857e341c,apply_method,
27e9f9b0-820b-5e47-8cde-bea5857e341c,vacancy_language,
27e9f9b0-820b-5e47-8cde-bea5857e341c,,
27e9f9b0-820b-5e47-8cde-bea5857e341c,,
0643fab1-7527-5074-9ec6-d9e58972417a,experience,career
0643fab1-7527-5074-9ec6-d9e58972417a,functiongroup,title
0643fab1-7527-5074-9ec6-d9e58972417a,branch,client
0643fab1-7527-5074-9ec6-d9e58972417a,location,zip
0643fab1-7527-5074-9ec6-d9e58972417a,location,zip
0643fab1-7527-5074-9ec6-d9e58972417a,jobtype,hours
0643fab1-7527-5074-9ec6-d9e58972417a,contract,
0643fab1-7527-5074-9ec6-d9e58972417a,apply_method,
0643fab1-7527-5074-9ec6-d9e58972417a,vacancy_language,
0643fab1-7527-5074-9ec6-d9e58972417a,,
0643fab1-7527-5074-9ec6-d9e58972417a,,
f37ceea0-0aeb-53bc-bbd7-5bcf769a770f,experience,career
f37ceea0-0aeb-53bc-bbd7-5bcf769a770f,functiongroup,title
f37ceea0-0aeb-53bc-bbd7-5bcf769a770f,branch,client
f37ceea0-0aeb-53bc-bbd7-5bcf769a770f,location,zip
f37ceea0-0aeb-53bc-bbd7-5bcf769a770f,location,zip
f37ceea0-0aeb-53bc-bbd7-5bcf769a770f,jobtype,hours
f37ceea0-0aeb-53bc-bbd7-5bcf769a770f,contract,
f37ceea0-0aeb-53bc-bbd7-5bcf769a770f,apply_method,
f37ceea0-0aeb-53bc-bbd7-5bcf769a770f,vacancy_language,
f37ceea0-0aeb-53bc-bbd7-5bcf769a770f,,
f37ceea0-0aeb-53bc-bbd7-5bcf769a770f,,
4f44c450-232b-565e-b255-c1fa27d28a5d,experience,career
4f44c450-232b-565e-b255-c1fa27d28a5d,functiongroup,title
4f44c450-232b-565e-b255-c1fa27d28a5d,branch,client
4f44c450-232b-565e-b255-c1fa27d28a5d,location,zip
4f44c450-232b-565e-b255-c1fa27d28a5d,location,zip
4f44c450-232b-565e-b255-c1fa27d28a5d,jobtype,hours
4f44c450-232b-565e-b255-c1fa27d28a5d,contract,
4f44c450-232b-565e-b255-c1fa27d28a5d,apply_method,
4f44c450-232b-565e-b255-c1fa27d28a5d,vacancy_language,
4f44c450-232b-565e-b255-c1fa27d28a5d,,
4f44c450-232b-565e-b255-c1fa27d28a5d,,
