Uuid__c,Status_desq__c,Remarks__c
7968aeff-bc5e-5647-8830-ad9a5c00a1f7,Active,"06032020 LT: In tegenstelling tot de standaard posting fee van €15,- is met BNP afgesproken om de prijs van dit product op €0,- te zetten."
a3a3cbf5-c5d2-560b-9d40-0e85521397eb,Active,"06-04-2021 RVR: Mailtje gehad van VakMediaNet: ""Graag willen we jullie weten dat sinds 01-03-2021 de titel https://www.securitymanagement.nl/ niet meer eigendom is van Vakmedianet. Voor vacatureplaatsingen via Security Management verwijs ik jullie graag door naar https://www.securitymanagement.nl/contact/."""
50f208f7-7bf1-5703-b387-36ae53b7216c,Active,"Blacklisted, because we can never reach them."
c8e7f9a4-8479-5858-932b-e5861542a5eb,Active,"30012020 LT RC = $275,-; Purchase price: $150,-"
27e9f9b0-820b-5e47-8cde-bea5857e341c,Active,"06032020 LT: In tegenstelling tot de standaard posting fee van €15,- is met BNP afgesproken om de prijs van dit product op €0,- te zetten."
0643fab1-7527-5074-9ec6-d9e58972417a,Active,"06032020 LT: In tegenstelling tot de standaard posting fee van €15,- is met BNP afgesproken om de prijs van dit product op €0,- te zetten."
0c6fbcf0-749b-5392-8a96-8f3a357194e7,Active,"23032020 LT RC $395,- ; Purchase Price $335,75"
4fc10242-5a75-5727-8812-23cc42ac7dba,Active,My Channel Product
97c76291-0403-5f37-8740-7ca9aec7db2a,Active,21022020 LT: Opgenomen voor tender KfW ondanks pricing iov Roderick
badacbaf-5c80-5eab-86d7-207acd0ec314,Active,28/04/21: AL: Disabled: 403 entry forbidden.
fb0562bd-d516-576e-b53b-f9d0ba11bcb5,Active,My Channel for Perfetti van Melle.
8b323d56-7d40-5b3d-b566-6534d1fb71c2,Active,"SF: Blacklisted, active product: https://vonq.lightning.force.com/lightning/r/Product2/01t1p000006yLMYAA2/view"
9f6cba81-359a-5b6d-a5a7-968dd68636c6,Active,"RVR 10-06-2021: Martin Brestal left the company and they do not wish to honor the PA we setup with him. Adéla want us to login and post manually now, but i norder to post for our customers she needs to setupp subaccounts which she is hesitant to setup. My new person of contact is very slow in the communication so I am not sure if we can guarantee a 48 hour delivery posting. She also wants us to purchase credits now."
ae7d4ec5-c836-5920-90e6-a1b5afb13b7c,Active,"23032020 LT: RC: $349,-; Purchase Price: $296,65"
f37ceea0-0aeb-53bc-bbd7-5bcf769a770f,Active,"06032020 LT: In tegenstelling tot de standaard posting fee van €15,- is met BNP afgesproken om de prijs van dit product op €0,- te zetten."
89800319-8a51-5741-843b-3887a1a8eaf0,Active,My Own Channel for SmartRecruiters
4a34aa16-598c-5b80-ad1f-9b6fb01f5274,Active,"27-05-2021 Tristan de Kooker: eRecruiter has confirmed if we can reduce the listprice of this product, their salesteam will push it and they will pin those products to the top of their list."
07a4618b-a341-54a1-a0cc-b97e6af748d2,Active,"27-05-2021 Tristan de Kooker: eRecruiter has confirmed if we can reduce the listprice of this product, their salesteam will push it and they will pin those products to the top of their list."
5a774b3a-88d5-51d1-afe1-567e507f9dc9,Active,"27-05-2021 Tristan de Kooker: eRecruiter has confirmed if we can reduce the listprice of this product, their salesteam will push it and they will pin those products to the top of their list."
4799ea62-ba3c-5440-b504-e464b8caae65,Active,Monster has stopped the collaboration with Alma Media.
f93c4ffc-1589-59cf-9009-c0ff2198fa0e,Active,EH 18-05-21 we're not able to use our tracking url under the apply button
ff2395d4-b549-5818-9aaf-3ef093df0d1d,Active,SF 14-05-21 Blacklisted till new PA
5854e654-0cce-5b44-9e88-e0d442d046f7,Active,20012020 LT: Blacklist; site isn't available
97c0eddb-9add-533c-b8d8-26120d65957d,Active,03-08-2020 RVR I.v.m. geen PA nog even de kanalen uitgezet uit voorzorg.
3474d9a3-cbfc-5395-9108-1b3777da4e8a,Active,"RVR 26-11-2020: Credits have run out according to Alexander, so I have blacklisted this product."
f2923766-fcf8-500e-8823-82bbb02e67a9,Active,03-08-2020 RVR I.v.m. geen PA nog even de kanalen uitgezet uit voorzorg.
7d382a2d-5fe2-5ce7-bf17-53480c8521f4,Active,"27022020 LT: RC = $299,- Purchase Price = $254,15"
5ef056bb-f501-590a-a390-a89c7aa0e88d,Active,26032020 LT: Duration aangepast naar 60 dagen tot 31-05-2020 ivm Corona
a8dcffd4-7648-5eac-8de1-07b37b25af70,Active,"27-05-2021 Tristan de Kooker: eRecruiter has confirmed if we can reduce the listprice of this product, their salesteam will push it and they will pin those products to the top of their list."
ea4684c6-1e95-506c-b565-4f75708eac0b,Active,"RVR 31-05-2021: Arno Schäfer requested a 5% listprice increase on this product.

OPS budget: 250 / 0,85 = € 294,-"
9f73ff69-b743-5aa4-a712-990412e18a91,Active,Duplicate: 01t08000008qgwtAAA
272ec46b-7339-5c2b-8e83-b8972e89cd09,Active,Duplicate: 01t08000008qgweAAA
67ebf67d-2bd1-57ed-9745-01d37f745e06,Active,18-02-2021 RVR: Aangemaakt voor Nanine om te kunnen testen. Is eigenlijk een additioneel produkt dat niet zichtbaaar hoort te zijn in het JMP.
0133cb52-73de-54ed-a78c-f9061077777a,Active,Duplicate: 01t08000008qgxDAAQ
8cb14867-ed6b-5012-964b-2414c4b5c42f,Active,Active Product: https://vonq.lightning.force.com/lightning/r/Product2/01t08000008qi0BAAQ/view
74cf0fc9-70c8-57fd-b236-8e1dc6416791,Active,"LR0706: Switched to active after connection changes.

LR0507: BL due to posting issues. Integration needs to be reviewed."
